id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
52;1895 г.;1895;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;#event_1895_52
53;1895 г.;1895;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;#event_1895_53
54;1896 г.;1896;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;#event_1895_54
55;1896 года;1896;53 В препятствиях по р. Ангаре: взорвано под водой и отвезено на сторону хозяйственным и подрядным с;#event_1895_55
56;1 июня 1896 г.;1896-06-01;53 В препятствиях по р. Ангаре: взорвано под водой и отвезено на сторону хозяйственным и подрядным с;#event_1895_56
57;1896 г.;1896;53 В препятствиях по р. Ангаре: взорвано под водой и отвезено на сторону хозяйственным и подрядным с;#event_1895_57
58;1894 год;1894;53 В препятствиях по р. Ангаре: взорвано под водой и отвезено на сторону хозяйственным и подрядным с;#event_1895_58
59;1895 год;1895;59 всего этого, необлагоприятно влияют на него в нравственном отношении. К отчетному году оставалось;#event_1895_59
60;1896 г.;1896;59 всего этого, необлагоприятно влияют на него в нравственном отношении. К отчетному году оставалось;#event_1895_60
61;1885 г.;1885;60 строилась арестантским трудом из материалов, выписанных из России при содействии Главного Тюремно;#event_1895_61
62;1885 год;1885;61;#event_1895_62
63;1 января 1895 года;1895-01-01;61;#event_1895_63
64;1895 года;1895;61;#event_1895_64
65;1896 года;1896;61;#event_1895_65
66;1896 год;1896;61;#event_1895_66
67;1895 года;1895;62 Арестантския железно- дорожные работы под;#event_1895_67
68;1895 г.;1895;"63 они втягивались в работу в продолжении двух, трех недель; окончившие срок заключения, получив на ";#event_1895_68
69;1895 год;1895;65 IV. НАРОДНОЕ ЗДРАВИЕ И ОБЩЕСТВЕННОЕ ПРИЗРЕНИЕ. А) ВРАЧИ. Всех врачей по;#event_1895_69
70;1895 г.;1895;67 рук по современным справочным ценам, на постройку зданий больницы назначены торги. Для;#event_1895_70
71;1895 год;1895;67 рук по современным справочным ценам, на постройку зданий больницы назначены торги. Для;#event_1895_71
72;1896 г.;1896;67 рук по современным справочным ценам, на постройку зданий больницы назначены торги. Для;#event_1895_72
73;1895 г.;1895;68 попечительного общества о тюрьмах и его отделений:;#event_1895_73
74;1895 год;1895;68 попечительного общества о тюрьмах и его отделений:;#event_1895_74
75;1896 г.;1896;68 попечительного общества о тюрьмах и его отделений:;#event_1895_75
76;1895 год;1895;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";#event_1895_76
